,Customer Type,Class,Flight Distance,Seat Comfort,Inflight Wifi Service,Inflight Entertainment,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
7414,1,0,1599,1,5,5,3,114,103,1
45938,0,2,1402,2,2,2,4,0,0,0
123270,1,0,2143,5,5,5,2,5,1,1
122808,1,2,628,4,3,4,5,53,47,1
76076,1,2,796,2,5,4,2,63,83,1
31172,1,0,1972,3,1,3,4,43,38,0
80583,1,2,2839,3,1,2,3,0,0,0
37900,1,0,2042,4,2,4,4,0,0,0
48359,0,0,2719,2,5,2,4,0,0,0
78030,1,0,1182,2,3,2,4,10,2,0
38898,1,0,1799,5,3,0,3,5,0,1
91302,1,0,2229,4,4,4,2,0,0,1
113056,1,2,216,4,3,5,5,0,0,1
74086,1,2,1970,2,2,2,4,0,2,0
86967,1,0,1493,4,4,3,2,0,0,0
50763,0,0,1783,3,2,3,4,18,1,0
7206,1,0,230,3,5,5,3,9,7,1
9197,1,0,1578,2,4,2,4,0,0,0
123062,1,2,528,3,5,4,5,19,31,1
93991,1,2,2850,3,2,5,4,0,0,1
43884,0,0,1580,1,4,1,2,0,0,0
11376,1,1,1205,2,1,2,4,32,18,0
66628,1,0,1668,1,1,1,3,126,119,0
21783,1,0,2140,5,4,4,5,1,5,1
55998,0,0,1832,3,2,3,2,0,3,0
96679,1,2,2628,1,4,4,4,0,0,1
28749,1,0,2311,3,5,3,5,18,64,0
84042,1,0,424,3,1,4,3,1,0,0
91056,1,0,1639,4,4,4,5,0,0,1
68440,1,2,3415,1,1,1,4,20,1,0
73441,1,2,766,2,4,4,2,21,9,0
26251,1,0,1907,3,2,3,4,64,45,0
84665,1,0,1837,3,3,3,5,0,0,1
91043,1,0,2575,4,4,4,3,1,0,1
13548,1,0,1996,2,5,4,4,7,0,1
32929,1,0,1059,4,1,4,4,66,77,0
101793,1,2,302,1,4,4,4,68,64,1
17899,1,0,2501,2,2,2,4,0,1,0
30329,1,0,721,2,3,5,5,0,0,1
50379,0,0,1946,2,2,2,4,4,0,0
4571,1,1,1653,1,5,1,4,0,0,0
49483,0,0,1657,2,1,2,3,0,3,0
104582,1,2,689,3,3,3,4,0,0,1
48422,0,0,1972,2,3,2,3,105,84,0
123585,1,2,386,1,5,3,5,4,7,1
7370,1,0,1811,1,3,1,4,1,0,0
56066,0,2,2658,3,1,4,5,0,0,0
40290,0,2,2195,0,5,0,5,3,0,1
95815,1,2,403,1,4,5,4,0,0,1
45608,0,0,1894,2,4,2,3,15,5,0
82572,1,0,1139,3,3,2,3,22,16,1
46983,0,2,2557,2,2,2,5,0,0,0
101437,1,2,1256,3,4,4,5,0,0,1
78511,1,2,205,4,5,4,2,0,0,0
69972,1,0,1379,2,1,2,4,16,8,1
93918,1,2,1022,5,4,4,4,0,0,1
6160,1,1,504,4,3,3,4,32,14,1
77572,1,2,2032,5,2,2,2,2,0,1
19514,1,0,1745,2,3,2,4,0,6,0
77114,1,1,1140,2,2,2,4,0,0,0
90619,1,2,919,5,2,5,4,0,0,1
13674,1,1,1203,2,4,4,5,0,0,1
42768,0,0,1951,1,5,1,3,15,10,0
125350,1,2,1125,1,3,4,5,0,0,1
61614,0,0,2150,5,2,5,5,0,0,1
105204,1,2,1693,2,4,4,4,0,0,1
42661,0,0,1961,1,1,1,3,7,0,0
84930,1,2,3374,3,4,4,3,1,0,0
15754,1,0,1546,2,3,2,5,1,13,0
111233,1,0,2005,5,5,5,1,21,26,1
21403,1,0,1636,3,2,2,4,0,0,0
71916,1,2,2199,2,1,2,2,44,34,0
8988,1,0,353,5,2,2,4,0,0,1
80358,1,0,1655,3,3,3,2,6,0,0
57709,0,2,1607,4,5,4,3,19,49,0
91414,1,0,1092,4,1,1,4,0,0,1
10000,1,0,1859,2,4,5,4,0,2,1
60989,0,0,1239,4,2,4,1,0,0,1
60862,0,2,2249,4,1,4,5,2,15,1
15937,1,0,1888,4,1,4,4,2,0,1
64605,1,2,314,0,2,1,5,0,0,1
84560,1,2,3362,3,3,3,3,0,0,0
77136,1,2,3446,2,4,3,2,0,0,0
21682,1,1,2879,4,5,5,4,0,0,1
34522,1,0,464,4,4,4,4,0,0,1
126025,1,0,478,5,3,1,5,0,0,1
18527,1,0,1545,1,2,4,5,0,0,1
63905,1,2,2285,0,3,4,5,24,17,1
111126,1,0,504,5,3,1,3,0,0,1
53882,0,0,2194,3,1,3,5,0,0,0
59451,0,2,2928,4,4,4,5,8,0,1
52309,0,0,3022,3,4,3,4,0,0,0
85245,1,2,1997,3,2,3,3,27,40,0
86140,1,2,1894,3,2,4,3,0,14,0
35666,1,0,2390,4,4,4,5,17,0,1
22094,1,0,2950,3,5,5,3,3,11,1
8380,1,0,1085,5,4,4,4,0,0,1
119730,1,2,338,3,3,4,5,13,2,1
22371,1,0,2032,3,2,3,4,39,46,0
83318,1,0,2599,3,3,3,3,1,0,0
67082,1,2,2248,1,1,3,1,0,0,0
12296,1,1,1267,3,4,4,4,0,0,1
121349,1,2,2717,5,2,4,5,20,7,1
37557,1,0,546,4,3,5,5,0,22,0
98398,1,2,1044,2,4,5,4,10,0,1
66454,1,0,2708,1,1,1,2,0,0,0
120537,1,2,3392,4,5,5,4,0,0,1
75605,1,2,2918,2,2,4,2,0,0,0
50527,0,0,1235,2,1,2,3,0,0,0
123049,1,2,571,5,4,4,5,0,0,1
4092,1,0,2682,0,5,5,4,0,0,1
93771,1,2,1600,1,2,5,4,0,0,1
15404,1,0,1622,2,3,2,4,46,48,0
30722,1,0,270,5,2,5,5,110,112,1
6134,1,0,2036,1,1,1,4,0,0,0
76678,1,0,1999,2,2,2,4,15,26,0
79290,1,2,1609,2,2,3,3,0,0,0
31072,1,0,788,3,2,4,1,21,30,0
9942,1,0,1659,1,5,3,4,2,0,1
40048,0,0,1720,0,1,0,4,0,0,1
118987,1,2,2065,5,1,2,5,0,0,1
52557,0,0,1792,3,2,3,3,12,3,0
74410,1,0,1891,2,2,2,4,0,0,0
109847,1,2,2185,4,5,4,5,0,0,1
31824,1,0,2159,3,1,4,4,0,9,0
45962,0,2,1902,2,3,2,5,0,0,0
99034,1,2,886,4,2,4,4,12,7,1
78778,1,1,280,3,5,2,2,0,6,1
23597,1,0,2299,4,2,4,5,28,10,1
78089,1,2,1620,3,5,3,3,29,19,0
34983,1,0,1767,4,5,4,3,8,0,0
97641,1,2,1427,2,5,4,4,0,0,1
60524,0,2,1564,4,3,4,5,0,0,1
113781,1,2,2795,3,5,5,4,0,0,1
72872,1,1,420,2,3,3,2,10,3,0
116607,1,2,345,1,4,5,5,0,0,1
7061,1,0,2004,1,5,1,4,0,0,0
80096,1,2,1783,3,3,1,3,26,19,0
98102,1,2,2106,3,1,4,4,8,54,1
67185,1,2,3121,1,3,4,1,72,53,0
94487,1,2,1516,3,4,4,4,116,110,1
70439,1,2,1650,1,3,4,2,3,0,1
102599,1,0,1629,4,4,4,4,8,0,0
25922,1,2,1076,4,5,4,5,0,0,1
93678,1,2,1148,3,4,4,4,4,7,1
9762,1,0,2613,2,3,2,4,0,0,0
128185,1,2,1436,5,2,4,5,4,4,1
47113,0,0,2264,2,5,2,5,1,0,0
88517,1,2,2734,5,3,4,4,0,0,1
102367,1,2,2413,1,3,4,4,0,0,1
38883,1,0,1234,5,2,0,5,68,59,1
18569,1,1,1807,2,4,2,5,19,14,0
31290,1,0,1799,3,2,3,4,0,0,0
82611,1,2,702,4,2,4,3,0,0,1
10118,1,2,1504,2,4,4,4,0,0,0
73792,1,0,2972,2,2,2,4,20,9,0
72426,1,0,606,2,1,3,2,20,16,0
46649,0,0,2401,2,2,2,3,0,17,0
35629,1,2,2896,4,3,4,4,22,21,0
91040,1,0,862,4,4,2,4,0,9,0
30794,1,0,1403,3,3,3,4,0,0,0
13185,1,0,2079,1,1,3,4,6,3,1
102274,1,2,2438,5,5,4,4,0,0,1
119020,1,2,537,5,4,5,5,0,0,1
3806,1,2,2596,1,5,1,4,0,7,0
30915,1,0,2915,3,4,3,4,42,27,0
51495,0,0,1536,3,5,3,3,0,0,0
26008,1,0,936,2,5,4,5,0,0,1
117284,1,2,1845,2,2,5,5,0,0,1
125678,1,2,937,1,2,5,5,0,0,1
2373,1,0,2928,5,4,5,4,10,16,1
19799,1,0,1155,5,5,5,5,29,0,1
79618,1,2,1756,3,5,2,3,7,15,0
79819,1,1,894,3,3,3,2,34,20,1
114957,1,2,891,2,3,4,5,1,5,1
108682,1,1,1505,4,4,4,5,0,0,1
77936,1,2,3130,3,4,3,3,0,11,0
84887,1,0,224,3,2,3,3,0,0,0
87969,1,2,2819,2,3,4,5,0,0,1
53535,0,2,2829,3,3,3,4,129,122,0
104935,1,2,600,2,2,5,4,0,0,1
6046,1,0,2320,3,2,5,2,19,13,1
74268,1,2,1702,2,2,2,4,23,27,0
102539,1,2,2469,2,3,5,4,0,0,1
127090,1,0,2442,5,5,5,3,0,0,1
117370,1,2,1654,3,5,3,5,0,1,1
3031,1,0,1719,5,5,4,1,6,0,1
45244,0,0,1857,2,4,3,3,0,0,0
9365,1,0,2136,2,2,5,4,0,0,1
11677,1,0,373,3,4,4,4,0,0,1
114,1,0,2734,0,3,0,3,0,0,1
31057,1,0,2089,3,3,3,4,5,11,0
38949,1,0,2375,5,3,5,5,0,0,1
83579,1,2,395,3,3,3,3,15,3,0
39512,1,0,2721,5,4,5,4,0,0,1
78035,1,2,1021,4,2,4,3,0,0,1
46478,0,2,1393,2,3,2,4,0,0,0
56398,0,0,1349,3,3,3,3,0,0,0
121051,1,2,1923,3,3,5,5,0,0,1
3600,1,0,1613,1,3,1,5,2,0,0
44465,0,2,1410,1,5,1,5,18,2,0
126646,1,2,526,3,4,5,5,17,12,1
67958,1,0,1731,1,1,1,3,4,0,0
80545,1,2,824,2,3,5,3,0,0,1
89663,1,0,2177,4,4,4,2,0,0,1
110768,1,2,1527,5,5,4,5,70,55,1
10415,1,0,1381,2,1,2,4,0,9,0
120442,1,2,2321,5,4,4,5,0,0,1
15695,1,0,480,4,3,5,4,2,18,1
56065,0,2,3392,3,3,4,5,10,16,0
34539,1,0,1702,4,2,4,5,34,28,0
163,1,0,1200,0,4,0,4,0,0,1
87799,1,2,1565,1,2,4,3,12,9,1
90369,1,0,2172,4,4,4,5,7,1,1
24458,1,0,1472,4,2,5,5,27,16,1
34527,1,0,1415,4,5,4,4,0,0,0
89400,1,2,3481,1,4,4,4,7,6,1
21914,1,1,2173,3,1,3,4,11,9,0
23720,1,0,1621,3,5,5,4,0,0,1
95203,1,2,1910,4,4,4,5,3,0,1
8729,1,0,3132,2,3,2,2,0,0,0
23985,1,0,2246,3,2,4,3,0,0,0
4159,1,0,3193,1,2,1,5,120,97,0
37717,1,1,2011,4,1,4,5,0,0,0
91974,1,2,413,2,2,2,4,0,0,1
87642,1,2,1662,5,3,5,3,8,1,1
213,1,0,2037,0,3,0,3,0,1,1
15231,1,0,1947,2,3,2,4,0,0,0
56007,0,0,1960,3,2,3,3,0,0,0
1411,1,0,1003,1,2,1,2,0,0,0
18257,1,0,1874,2,4,2,4,0,3,0
2501,1,0,2262,1,3,1,3,8,2,0
30738,1,0,2017,3,3,3,4,64,93,0
97266,1,0,3356,4,4,4,3,0,0,1
123033,1,0,1036,5,5,5,5,23,19,1
14319,1,0,1290,3,4,5,4,0,0,1
116932,1,2,3260,2,5,3,5,0,0,1
44784,0,0,1681,2,1,2,5,12,7,0
67837,1,2,280,1,2,3,1,0,0,0
121882,1,2,863,2,3,2,5,0,2,1
101058,1,2,453,5,2,5,4,1,0,1
126833,1,2,505,1,5,4,5,0,0,1
118806,1,2,3171,5,2,4,5,9,0,1
37091,1,0,2059,4,2,4,3,23,14,0
33403,1,0,2144,4,1,3,4,0,0,0
334,1,0,1170,0,2,0,4,0,0,1
76873,1,1,1628,2,2,2,4,0,0,0
46545,0,2,1070,2,1,2,4,0,0,0
90961,1,2,723,2,5,4,4,0,0,1
58916,0,0,2745,4,1,4,1,6,1,0
42912,0,0,2508,1,3,1,3,6,8,0
41897,0,2,1469,1,5,1,4,29,19,0
110305,1,2,2334,2,3,4,5,0,0,1
50591,0,2,1162,3,1,2,4,0,0,0
63358,0,2,1912,5,5,5,5,0,1,1
58993,0,0,2355,4,5,4,2,0,0,1
77539,1,2,1814,5,4,4,2,59,56,1
11588,1,0,2068,2,1,2,5,2,0,0
46682,0,2,1912,2,1,2,4,0,0,0
71821,1,2,3318,2,2,2,2,0,0,0
60706,0,2,1268,4,3,4,4,0,0,0
63979,1,0,1512,0,5,0,3,0,0,1
102094,1,0,2077,4,4,4,3,0,0,0
50205,0,0,1400,2,4,2,3,23,18,0
35912,1,0,1276,4,4,4,3,0,0,0
93295,1,2,3271,4,4,4,5,5,12,1
85145,1,2,2229,3,3,3,2,0,2,1
18810,1,1,2505,2,4,2,5,0,0,0
21741,1,0,2714,3,4,3,4,0,0,0
68563,1,0,1271,1,3,4,1,5,2,0
90024,1,2,1262,1,2,5,4,6,0,1
126930,1,2,3273,3,2,4,5,0,0,1
6164,1,0,2075,1,3,1,5,0,0,0
104222,1,0,1279,4,2,2,4,0,0,1
6941,1,0,2182,1,3,1,5,0,0,0
56851,0,2,1617,4,2,4,5,20,32,1
84290,1,2,1605,5,4,3,3,0,0,1
11988,1,1,1271,2,3,0,4,8,36,0
98543,1,2,1901,4,3,5,4,0,0,1
87645,1,2,302,3,3,1,3,97,123,0
104920,1,2,2481,3,4,4,4,0,0,1
124491,1,0,889,5,5,5,2,0,0,1
24907,1,1,1091,4,3,5,5,0,0,1
84813,1,2,937,3,5,3,3,21,3,0
10894,1,0,313,3,2,4,4,15,14,1
113940,1,2,2191,4,3,3,5,0,0,1
81808,1,0,2012,3,3,3,4,0,0,0
22430,1,0,1370,3,1,3,3,0,0,0
109132,1,2,213,3,5,3,4,11,17,1
7535,1,0,1517,1,2,1,3,6,17,0
41238,0,0,1566,1,4,1,4,9,28,0
109937,1,0,1455,4,5,4,4,0,0,1
25550,1,0,1442,3,4,3,4,27,19,0
64654,1,2,1961,0,5,5,4,0,0,1
79273,1,0,1699,2,2,3,4,0,8,0
6492,1,0,1902,1,2,1,4,0,8,0
26773,1,0,1304,3,3,3,4,0,0,0
106728,1,2,273,2,5,4,4,0,0,1
54099,0,2,2156,3,3,3,4,5,1,0
14040,1,0,2493,2,4,2,4,130,119,0
78353,1,0,1884,3,3,2,4,0,0,0
43782,0,0,2321,1,1,2,4,0,7,0
99629,1,2,2589,3,5,2,4,0,17,1
109209,1,2,102,4,3,5,4,0,0,1
92051,1,2,2930,4,4,4,4,26,9,1
85340,1,0,1459,3,3,3,3,7,7,0
60777,0,0,1951,4,2,4,3,2,4,0
55103,0,2,1318,3,4,3,4,3,2,0
35856,1,0,1585,4,5,4,5,0,0,1
89120,1,2,207,1,1,1,4,0,0,1
76381,1,2,656,2,3,3,2,0,0,0
36670,1,0,865,4,3,5,1,0,0,0
43624,0,0,1835,1,4,1,3,0,0,0
23442,1,0,1671,5,1,2,5,0,0,1
38842,1,0,1894,5,5,5,3,0,0,1
49602,0,0,1361,2,3,2,4,0,0,0
10174,1,0,998,3,4,4,4,0,0,1
75819,1,2,2848,2,1,3,2,0,39,0
1828,1,0,1799,1,2,1,4,0,0,0
10869,1,0,1488,2,5,2,5,15,22,0
93310,1,0,1732,4,4,4,1,0,0,1
48049,0,1,2360,2,3,2,4,6,0,0
76772,1,1,1764,2,2,2,3,32,34,0
29919,1,0,3218,3,1,3,4,44,52,0
73372,1,0,1027,2,2,2,4,0,0,0
38502,1,0,1545,5,3,5,3,15,7,1
10023,1,0,223,4,1,5,4,0,4,1
117916,1,2,1011,5,3,4,5,0,0,1
2370,1,0,2505,5,4,3,2,4,0,1
53764,0,0,2221,3,5,3,3,15,19,0
71193,1,2,2011,2,3,3,2,5,13,1
124198,1,2,2840,1,2,4,5,0,0,1
19924,1,0,1619,2,1,5,2,49,30,0
38538,1,0,2087,5,2,5,3,8,0,1
21987,1,0,1352,3,5,5,5,1,0,1
69949,1,1,1644,1,1,2,4,0,0,0
3949,1,1,1468,1,2,1,5,0,0,0
6384,1,0,2514,1,3,1,4,13,26,0
8727,1,0,2694,2,5,2,3,3,0,0
32894,1,1,2317,4,4,4,3,2,19,0
46010,0,2,2188,2,1,2,4,0,2,0
1069,1,0,1781,0,4,5,3,10,17,1
90580,1,0,459,4,1,3,4,15,5,1
93353,1,2,1478,3,2,5,4,1,0,1
51446,0,0,1973,3,1,3,4,0,0,0
36114,1,0,2918,4,1,4,5,0,0,0
31998,1,1,1969,3,4,5,4,0,0,0
10651,1,0,1632,2,1,2,1,31,30,0
19883,1,0,1506,2,2,4,4,0,0,0
118208,1,2,867,3,3,3,5,7,0,1
51928,0,0,1696,3,1,3,3,0,0,0
41303,0,0,1377,1,3,1,1,0,9,0
27536,1,0,1839,3,3,3,4,2,2,0
90963,1,2,3115,4,3,5,4,23,40,0
10891,1,1,326,4,4,4,4,3,0,1
56983,0,0,1708,4,4,4,1,0,0,0
24103,1,0,101,3,2,4,5,0,0,1
10552,1,0,2770,2,3,1,3,0,0,0
29354,1,0,1178,5,5,5,4,0,0,1
20124,1,0,1703,5,3,5,4,16,5,1
57645,0,0,1582,4,1,4,3,4,0,0
9482,1,0,2470,5,4,4,4,44,42,1
65691,1,2,2241,0,2,4,4,7,3,1
83850,1,2,1660,3,3,2,3,0,0,0
37986,1,0,1656,4,5,4,5,0,0,1
5514,1,2,1070,3,4,5,2,0,0,1
108592,1,1,1744,4,4,4,1,1,0,1
29993,1,0,2387,3,5,3,5,5,0,0
62527,0,0,2368,5,4,5,5,0,0,1
97391,1,2,1638,3,3,5,4,0,0,1
100092,1,2,2847,3,4,4,4,0,3,1
1059,1,1,949,1,4,1,1,23,42,0
17423,1,0,1310,2,5,2,1,0,0,0
71744,1,1,2352,2,2,2,2,9,0,0
83852,1,2,2650,3,4,2,3,49,56,0
57475,0,2,2516,4,3,5,4,0,0,1
49263,0,2,1154,2,4,1,4,15,31,0
99663,1,2,1798,4,4,4,4,0,0,0
24444,1,0,1628,5,3,4,5,0,0,1
123600,1,2,374,4,4,5,5,6,1,1
124662,1,0,1139,5,5,5,1,10,7,1
22691,1,0,757,1,4,4,5,107,115,1
4116,1,0,3205,1,2,1,4,14,8,0
99726,1,2,706,1,2,5,4,0,0,1
5467,1,0,1097,2,5,5,2,14,3,1
109022,1,2,1705,1,1,3,4,0,0,1
100787,1,2,1683,4,2,2,4,1,0,0
38094,1,0,3209,4,1,4,4,0,0,1
18668,1,0,3448,5,1,1,4,0,0,1
13762,1,0,2834,2,3,4,4,45,34,1
102746,1,2,1953,3,4,3,4,0,0,1
61418,0,2,2346,5,4,5,5,0,3,1
124929,1,1,2213,5,5,5,3,1,0,1
82414,1,0,1220,3,3,3,3,0,0,0
57448,0,0,1883,4,5,5,3,0,0,1
100174,1,2,2668,3,5,5,4,109,116,1
87295,1,2,153,1,4,4,4,36,16,0
78123,1,2,510,3,5,3,3,0,0,0
63682,1,0,1604,0,4,0,5,0,0,1
124661,1,0,1556,5,5,5,3,0,0,1
82328,1,2,2057,5,3,3,3,0,10,1
81276,1,2,2270,1,2,3,3,0,0,1
17381,1,0,1873,2,4,2,5,0,0,0
25082,1,2,1434,5,3,4,5,0,0,1
43241,0,0,1686,1,1,1,4,30,25,0
58794,0,2,2723,4,4,4,5,11,0,1
89852,1,2,1455,3,4,5,4,0,3,1
35727,1,0,2406,4,5,4,4,0,0,1
68791,1,0,1333,1,1,1,4,2,0,0
89556,1,2,2099,1,3,3,4,66,53,1
126228,1,0,1253,5,5,5,5,0,0,1
23344,1,0,1605,3,4,3,3,56,66,0
113019,1,0,2141,4,4,5,4,0,0,1
12249,1,0,3022,2,4,2,5,1,0,0
20455,1,0,3380,3,3,3,2,0,0,0
23124,1,1,2617,5,5,5,1,0,20,1
71034,1,0,2194,2,2,2,1,8,2,1
58392,0,2,2521,4,3,4,4,78,68,1
10483,1,2,629,2,4,4,1,0,0,0
223,1,0,1612,0,5,0,4,0,0,1
30098,1,0,2192,3,3,3,4,0,0,0
67343,1,0,1898,1,1,1,3,0,5,0
77104,1,1,2279,2,2,2,4,0,9,0
13918,1,0,1973,2,5,2,4,0,0,0
101524,1,2,360,4,5,4,4,14,0,1
24585,1,0,2506,3,5,3,5,0,0,0
122291,1,0,517,5,2,1,5,0,0,1
12654,1,0,2068,2,5,2,5,27,28,0
17015,1,0,3457,2,1,4,4,1,0,1
57939,0,0,2649,4,4,3,5,0,0,1
34056,1,2,691,4,5,3,4,0,0,0
96214,1,2,1767,1,5,1,4,14,14,1
92514,1,2,2197,2,4,4,2,61,51,1
23479,1,0,1747,5,4,4,5,28,29,1
126928,1,2,3047,4,4,4,5,0,0,1
61645,0,0,1929,5,4,5,2,0,0,1
77658,1,2,3151,2,4,5,2,0,0,1
39840,1,0,3458,5,2,5,4,0,0,1
86592,1,2,3284,4,3,4,3,0,0,0
29960,1,0,1762,3,5,5,4,0,0,1
117775,1,2,1810,4,4,4,5,53,20,1
114751,1,2,3063,3,4,3,5,0,2,1
77724,1,0,2554,2,2,2,3,34,12,0
3292,1,0,2284,1,1,0,3,0,0,0
18754,1,0,2902,2,1,2,2,59,30,0
53188,0,2,3087,3,5,3,5,0,1,1
34083,1,0,889,4,3,0,3,0,0,0
86038,1,0,1765,3,3,3,3,0,0,0
7547,1,0,370,2,3,5,3,63,56,1
6505,1,2,1443,1,5,1,4,0,0,0
75607,1,2,3125,1,5,5,2,0,5,1
42929,0,0,2184,1,4,1,3,10,0,0
35833,1,0,625,4,3,3,3,9,0,0
75030,1,0,2117,2,2,2,3,8,0,0
65364,1,0,2453,0,5,0,4,1,13,1
24854,1,0,1437,3,3,3,5,0,0,0
70878,1,2,1608,4,4,5,2,3,0,1
1689,1,0,2058,1,2,1,3,90,78,0
101474,1,2,338,2,5,4,4,0,0,1
102751,1,2,1916,5,4,3,4,0,0,1
23416,1,0,1298,3,2,3,3,7,0,0
64141,1,2,2729,0,5,5,5,3,10,1
13106,1,1,791,4,3,5,4,0,0,1
128544,1,2,893,5,3,4,5,0,0,1
31664,1,0,2098,3,3,3,5,7,4,0
93169,1,2,3002,1,4,4,4,25,0,1
22499,1,0,2270,3,2,4,5,3,0,1
81061,1,2,1688,3,4,2,3,0,2,0
55132,0,2,1857,3,2,3,4,0,0,0
110111,1,2,2295,5,5,4,5,3,14,1
66674,1,2,1642,1,3,2,1,7,13,0
27291,1,0,1859,3,4,3,3,72,76,0
125001,1,2,1581,3,3,5,5,50,59,1
104840,1,0,1031,4,2,2,4,75,105,1
14866,1,1,2203,2,1,2,2,46,48,0
70023,1,1,1719,2,1,2,1,0,0,1
11347,1,0,1299,2,4,2,2,0,0,0
128241,1,2,2763,3,3,5,5,0,8,1
121659,1,2,2568,1,5,5,5,3,0,1
123309,1,2,474,1,3,5,5,17,9,1
53161,0,1,1723,3,1,3,3,0,0,0
12446,1,0,2393,4,4,4,4,0,0,1
121658,1,2,974,1,4,5,5,12,13,1
85423,1,2,2054,3,1,4,3,7,10,0
96921,1,2,2353,3,4,4,4,0,0,1
81905,1,2,1617,3,4,3,3,0,0,0
47508,0,2,1808,2,2,2,5,8,5,0
63227,0,2,2263,5,5,5,4,17,0,1
86994,1,2,301,4,4,3,4,0,0,0
54776,0,0,2139,3,1,3,3,0,0,0
60703,0,2,2378,4,5,4,5,0,0,0
105727,1,2,432,5,3,4,4,0,0,1
51910,0,0,2008,3,3,3,3,130,127,0
4526,1,0,1555,1,5,1,1,0,0,0
128413,1,1,1351,5,5,5,1,1,42,1
12716,1,2,2044,5,4,5,4,0,0,1
26467,1,2,2157,4,4,4,5,0,0,1
62118,0,2,1726,5,3,5,5,0,0,1
19103,1,0,2161,1,3,4,5,10,1,1
38010,1,0,1119,4,5,4,1,0,13,0
101333,1,2,2278,1,2,5,4,0,0,1
115454,1,2,2605,5,5,5,1,0,3,1
106209,1,0,976,4,4,4,1,0,0,1
65500,1,2,243,0,5,5,3,0,0,1
59083,0,0,1516,4,5,4,3,42,25,0
14634,1,0,910,4,4,4,2,24,26,1
14637,1,0,975,4,4,4,2,25,35,1
37292,1,1,2655,4,1,4,4,26,32,0
51026,0,0,1956,3,2,3,4,112,116,0
65983,1,2,605,1,1,4,4,27,8,0
84243,1,0,1160,3,2,3,3,0,35,0
45011,0,2,1932,2,4,2,5,0,9,0
18926,1,0,1740,4,4,4,1,41,38,1
5494,1,0,2334,2,2,2,4,84,73,1
35635,1,0,3014,4,1,4,5,2,0,0
101883,1,1,2826,4,4,4,4,20,16,0
39476,1,0,2116,5,5,3,5,0,0,1
109692,1,0,1496,4,5,4,3,0,0,1
90699,1,2,2548,3,2,4,4,114,106,1
7443,1,0,1850,1,3,4,4,0,0,1
120345,1,2,2525,5,2,3,5,57,55,1
122440,1,2,1987,1,5,5,5,81,108,1
101702,1,2,2130,5,5,4,4,0,0,1
91372,1,2,597,1,4,4,4,16,16,1
114856,1,2,2385,3,3,5,5,32,25,1
61047,0,2,2189,4,3,4,5,0,0,1
74604,1,2,2475,2,3,3,2,89,84,0
67883,1,2,3473,1,5,3,1,5,0,0
112170,1,2,2789,1,4,5,5,0,0,1
126263,1,2,3260,1,2,4,5,0,0,1
96235,1,2,1758,1,5,5,4,0,0,1
105048,1,2,1481,2,4,4,4,0,0,1
119956,1,2,264,3,2,5,5,0,0,1
119290,1,2,1794,3,5,4,5,8,0,1
99729,1,2,3372,5,5,4,4,15,21,1
55841,0,0,1698,3,2,3,3,28,24,0
13207,1,0,1484,1,4,5,4,7,0,1
123736,1,2,1861,2,5,5,5,11,9,1
124584,1,0,2074,5,5,5,3,0,0,1
29966,1,0,1651,2,5,4,5,0,6,1
116181,1,2,443,4,4,5,5,53,55,1
6486,1,0,2064,4,3,4,3,0,12,1
31269,1,1,1520,3,5,3,4,0,0,0
108378,1,1,1419,4,4,4,5,0,0,1
18702,1,0,2570,2,2,4,4,1,0,1
92552,1,2,2547,2,4,5,4,0,0,1
40316,0,2,2029,0,4,0,5,1,4,1
98680,1,1,2084,4,4,4,1,0,0,1
64432,1,2,2600,0,3,5,3,0,0,1
115213,1,0,1619,5,5,5,2,39,58,1
38766,1,0,2523,5,2,5,4,0,0,1
73442,1,2,791,2,2,4,2,0,0,0
7663,1,0,2266,1,2,1,4,75,73,0
127108,1,2,2623,4,5,5,5,0,3,1
13468,1,1,1386,2,4,2,4,71,73,0
127166,1,0,1004,5,5,5,1,8,18,1
39467,1,0,2068,5,3,2,4,0,0,1
3079,1,2,917,5,4,4,2,11,0,1
114574,1,2,3414,5,4,4,5,0,0,1
73867,1,2,1904,4,4,4,2,20,30,1
973,1,0,572,0,1,0,5,0,3,1
63076,0,0,2144,5,5,1,1,0,0,1
72783,1,2,1638,3,4,4,2,0,0,1
12670,1,0,459,5,4,5,4,36,26,1
59210,0,2,1391,4,2,4,3,0,4,1
103126,1,2,1373,1,4,5,4,20,39,1
76124,1,2,3208,5,4,4,2,0,0,1
20482,1,1,2391,3,4,5,4,85,90,1
94114,1,2,984,5,5,5,4,67,101,1
12361,1,0,1857,2,1,2,5,0,0,0
72817,1,2,2891,2,4,3,2,0,0,0
28840,1,0,1999,3,4,3,4,0,0,0
112538,1,2,224,1,2,4,4,3,0,1
74994,1,2,2876,2,3,4,2,0,0,0
56787,0,0,1246,4,4,4,5,13,4,1
100047,1,2,1871,1,3,4,4,37,21,1
51319,0,0,1841,3,2,3,4,0,0,0
14883,1,0,2198,2,4,2,5,1,0,0
13329,1,2,1677,2,4,2,5,0,0,0
58116,0,2,1856,4,5,4,4,0,0,1
111105,1,0,1569,5,5,4,5,0,2,1
75443,1,0,1122,2,5,3,2,8,0,0
89317,1,2,2957,1,4,4,3,0,24,1
108146,1,2,503,4,5,4,4,32,29,1
